Street,FA,Count of Uid,Lat,Lng
165 W 66th St,Mitch,1,"407,747,695","-739,839,605"
165-194 67th Avenue,FA8,3,"407,346,568","-73,803,057"
170 Broadway,Mitch,1,"407,099,419","-739,628,715"
170 West End Ave,FA5,2,"407,767,637","-739,843,469"
171 North 10th Street,Mitch,3,"407,193,027","-739,552,235"
173 Avenue B,Mitch,1,"407,272,616","-739,793,069"
174-190 73rd Avenue,FA8,1,"407,294,078","-737,950,648"
175 E 96th St,FA13,15,"407,857,569","-739,492,538"
175 Greenwich Street,FA13,1,"407,111,628","-740,120,886"
175 West 72nd Street,FA4,1,"407,786,038","-73,981,122"
177 Avenue C,Mitch,1,"407,264,472","-739,773,785"
178 North 11th Street,Mitch,12,"407,194,569","-739,546,336"
180 6th Ave,Mitch,1,"407,260,477","-740,034,852"
180 East 17th Street,Mitch,3,"406,462,812","-739,637,394"
180 East 18th Street,Mitch,1,"407,359,609","-739,857,652"
180 Morgan St,FA11,2,"407,203,282","-740,414,415"
180 River Dr,FA11,24,"407,322,312","-740,313,539"
180 River Dr,Mitch,2,"407,322,312","-740,313,539"
180 River Drive South,FA11,1,"407,263,466","-740,323,071"
180 Thompson Street,FA8,1,"407,279,111","-739,998,203"
180 water st,Mitch,4,"407,070,676","-740,054,773"
180 West Gray Street,Houston FA 1,6,"297,536,296","-953,817,642"
183 Thompson Street,Mitch,4,"407,280,965","-740,001,176"
185 East 85th Street,FA11,2,"407,786,303","-739,548,117"
185 Park Row,Mitch,4,"407,124,928","-739,998,886"
185 South 4th Street,Mitch,12,"407,112,253","-739,605,381"
185-01 Hillside Avenue,FA8,1,"40,714,633","-73,777,078"
186 Wayne Street,FA8,3,"407,211,656","-740,505,633"
